,0,1,2
163,0,0,1
164,0,0,1
165,0,1,0
166,1,0,0
167,0,0,1
168,0,0,1
169,0,0,1
170,0,0,1
171,0,1,0
172,0,1,0
173,0,0,1
174,0,0,1
175,0,0,1
176,0,0,1
177,0,0,1
178,0,0,1
179,0,0,1
180,0,0,1
181,0,0,1
182,0,1,0
183,0,0,1
184,0,0,1
185,0,1,0
186,0,1,0
187,0,0,1
188,1,0,0
189,0,0,1
190,0,0,1
191,0,0,1
192,0,0,1
193,0,0,1
194,0,0,1
195,0,0,1
196,0,0,1
197,1,0,0
198,0,0,1
199,0,0,1
200,0,0,1
201,0,0,1
202,0,0,1
203,1,0,0
204,0,0,1
205,0,1,0
206,0,1,0
207,0,0,1
208,0,0,1
209,0,0,1
210,1,0,0
211,0,0,1
212,0,0,1
213,0,1,0
214,0,0,1
215,0,0,1
216,0,0,1
217,0,1,0
218,0,1,0
219,0,0,1
220,0,1,0
221,0,0,1
222,0,0,1
223,0,0,1
224,0,0,1
225,0,0,1
226,0,0,1
227,0,0,1
228,0,0,1
229,0,0,1
230,0,0,1
231,0,0,1
232,0,0,1
233,0,0,1
234,0,1,0
235,0,1,0
236,0,0,1
237,0,0,1
238,1,0,0
239,0,1,0
240,1,0,0
241,1,0,0
242,1,0,0
243,0,0,1
244,0,0,1
245,0,1,0
246,0,0,1
247,0,0,1
248,0,0,1
249,0,0,1
250,0,0,1
251,0,1,0
252,0,0,1
253,0,0,1
254,0,1,0
255,0,0,1
256,0,1,0
257,0,1,0
258,0,0,1
259,0,1,0
260,0,1,0
261,0,0,1
262,0,0,1
263,0,0,1
264,0,1,0
265,0,0,1
266,0,0,1
267,0,1,0
268,0,1,0
269,0,1,0
270,0,0,1
271,0,0,1
272,0,0,1
273,0,0,1
274,0,1,0
275,0,1,0
276,0,0,1
277,0,0,1
278,0,0,1
279,0,0,1
280,0,0,1
281,0,1,0
282,0,0,1
283,0,0,1
284,0,0,1
285,0,0,1
286,0,0,1
287,0,0,1
288,0,0,1
289,1,0,0
290,0,1,0
291,0,0,1
292,0,1,0
293,1,0,0
294,0,0,1
295,0,0,1
296,0,1,0
297,0,0,1
298,1,0,0
299,0,1,0
300,0,0,1
301,1,0,0
302,0,0,1
303,0,1,0
304,0,0,1
305,0,0,1
306,0,0,1
307,0,1,0
308,0,0,1
309,0,0,1
310,0,0,1
311,0,1,0
312,0,1,0
313,0,0,1
314,0,0,1
315,0,0,1
316,0,0,1
317,0,0,1
318,0,0,1
319,0,1,0
320,0,1,0
321,0,1,0
322,0,0,1
323,0,0,1
324,0,1,0
325,0,0,1
326,0,0,1
327,1,0,0
328,0,0,1
329,0,0,1
330,0,0,1
331,0,0,1
332,0,0,1
333,1,0,0
334,0,0,1
335,0,0,1
336,0,0,1
337,0,0,1
338,0,1,0
339,0,0,1
340,0,0,1
341,0,0,1
342,0,1,0
343,0,0,1
344,0,0,1
345,0,0,1
346,0,0,1
347,0,0,1
348,0,1,0
349,0,0,1
350,0,0,1
351,1,0,0
352,0,0,1
353,0,0,1
354,0,0,1
355,0,0,1
356,0,0,1
357,0,0,1
358,0,0,1
359,0,0,1
360,0,1,0
361,0,0,1
362,0,0,1
363,1,0,0
364,0,0,1
365,0,0,1
366,0,1,0
367,0,0,1
368,0,0,1
369,0,0,1
370,0,0,1
371,0,0,1
372,0,0,1
373,0,0,1
374,1,0,0
375,1,0,0
376,0,1,0
377,0,1,0
378,1,0,0
379,0,1,0
380,0,0,1
381,0,0,1
382,0,0,1
383,0,0,1
384,0,0,1
385,0,0,1
386,0,0,1
387,0,0,1
388,0,0,1
389,0,0,1
390,1,0,0
391,0,0,1
392,0,0,1
393,0,0,1
394,0,0,1
395,0,1,0
396,0,0,1
397,0,0,1
398,0,0,1
399,0,0,1
400,0,0,1
401,0,0,1
402,0,1,0
403,0,0,1
404,1,0,0
405,0,0,1
406,0,0,1
407,0,0,1
408,0,0,1
409,0,0,1
410,1,0,0
411,0,0,1
412,0,1,0
413,0,1,0
414,0,0,1
415,0,0,1
416,0,0,1
417,0,0,1
418,0,0,1
419,0,0,1
420,0,0,1
421,0,0,1
422,0,0,1
423,0,0,1
424,1,0,0
425,1,0,0
426,0,0,1
427,0,0,1
428,0,0,1
429,0,1,0
430,0,0,1
431,0,0,1
432,0,0,1
433,0,0,1
434,0,0,1
435,0,0,1
436,0,0,1
437,0,0,1
438,1,0,0
439,0,0,1
440,0,0,1
441,1,0,0
442,0,0,1
443,0,0,1
444,0,0,1
445,0,1,0
446,0,0,1
447,0,0,1
448,0,0,1
449,0,0,1
450,0,0,1
451,0,0,1
452,0,0,1
453,0,1,0
454,0,0,1
455,0,0,1
456,0,0,1
457,0,0,1
458,0,1,0
459,0,0,1
460,0,0,1
461,0,0,1
462,0,0,1
463,0,1,0
464,0,0,1
465,0,1,0
466,0,0,1
467,0,1,0
468,0,0,1
469,0,0,1
470,0,0,1
471,0,1,0
472,0,0,1
473,0,1,0
474,0,0,1
475,0,0,1
476,1,0,0
477,0,0,1
478,0,0,1
479,0,0,1
480,0,0,1
481,0,0,1
482,0,0,1
483,0,0,1
484,0,0,1
485,0,0,1
